country_code,indicator,year,value
MUS,WHOSIS_000001,2008,72.86571029
PRI,WHOSIS_000001,2006,78.05684106
COG,WHOSIS_000001,2021,63.17262301
ARE,WHOSIS_000001,2000,78.11838329
KGZ,WHOSIS_000001,2005,67.04293061
MDV,WHOSIS_000001,2018,78.67792046
ESP,WHOSIS_000001,2000,79.09037288
NGA,WHOSIS_000001,2011,60.1981229
ITA,WHOSIS_000001,2015,82.20433624
MAR,WHOSIS_000001,2015,73.26259745
MDA,WHOSIS_000001,2000,65.65922366
SEN,WHOSIS_000001,2001,59.28989485
GEO,WHOSIS_000001,2016,72.63239027
IRQ,WHOSIS_000001,2018,73.06286041
MLT,WHOSIS_000001,2003,78.67686
EST,WHOSIS_000001,2009,75.04425699
SEN,WHOSIS_000001,2021,67.79198263
LCA,WHOSIS_000001,2017,76.138896
SLB,WHOSIS_000001,2007,63.76837921
WB_LMI,WHOSIS_000001,2019,69.57356781
LKA,WHOSIS_000001,2009,72.41934945
ALB,WHOSIS_000001,2016,77.87870915
SLV,WHOSIS_000001,2010,74.56329622
AFR,WHOSIS_000001,2017,63.36220568
IRN,WHOSIS_000001,2021,74.71077692
SSD,WHOSIS_000001,2003,54.40318481
TLS,WHOSIS_000001,2009,66.64368547
SWZ,WHOSIS_000001,2002,43.63857902
GNQ,WHOSIS_000001,2007,58.62674902
CAN,WHOSIS_000001,2009,80.88259979
ISR,WHOSIS_000001,2007,80.12300616
NLD,WHOSIS_000001,2013,81.11693502
IND,WHOSIS_000001,2009,67.04997477
ATG,WHOSIS_000001,2008,75.05552794
TLS,WHOSIS_000001,2019,68.49880356
GMB,WHOSIS_000001,2011,62.84614338
HTI,WHOSIS_000001,2015,62.5149437
AZE,WHOSIS_000001,2015,73.62700051
AFG,WHOSIS_000001,2012,59.92210578
HUN,WHOSIS_000001,2008,74.0004346
MKD,WHOSIS_000001,2005,73.73592756
PRI,WHOSIS_000001,2021,79.90294803
BGD,WHOSIS_000001,2006,68.09324389
CPV,WHOSIS_000001,2018,73.8583216
AZE,WHOSIS_000001,2003,66.74212235
JOR,WHOSIS_000001,2018,79.63154866
WPR,WHOSIS_000001,2018,77.3741563
WSM,WHOSIS_000001,2018,70.09269594
