country,country_code,indicator,year,value
Kenya,KEN,SE.PRM.ENRR,1978,95.5679321289062
Kenya,KEN,SE.PRM.ENRR,1977,98.9096374511719
Kenya,KEN,SE.PRM.ENRR,1976,99.1563110351562
Kenya,KEN,SE.PRM.ENRR,1975,102.894416809082
Kenya,KEN,SE.PRM.ENRR,1974,100.311813354492
Kenya,KEN,SE.PRM.ENRR,1973,67.9078598022461
Kenya,KEN,SE.PRM.ENRR,1972,65.2331085205078
Kenya,KEN,SE.PRM.ENRR,1971,61.7012405395508
Kenya,KEN,SE.PRM.ENRR,1970,60.2659912109375
Kenya,KEN,SP.DYN.LE00.IN,2024,63.834
Kenya,KEN,SP.DYN.LE00.IN,2023,63.646
Kenya,KEN,SP.DYN.LE00.IN,2022,63.549
Kenya,KEN,SP.DYN.LE00.IN,2021,61.225
Kenya,KEN,SP.DYN.LE00.IN,2020,61.596
Kenya,KEN,SP.DYN.LE00.IN,2019,62.939
Kenya,KEN,SP.DYN.LE00.IN,2018,62.825
Kenya,KEN,SP.DYN.LE00.IN,2017,62.725
Kenya,KEN,SP.DYN.LE00.IN,2016,62.526
Kenya,KEN,SP.DYN.LE00.IN,2015,62.279
Kenya,KEN,SP.DYN.LE00.IN,2014,61.99
Kenya,KEN,SP.DYN.LE00.IN,2013,61.729
Kenya,KEN,SP.DYN.LE00.IN,2012,61.537
Kenya,KEN,SP.DYN.LE00.IN,2011,61.283
Kenya,KEN,SP.DYN.LE00.IN,2010,60.915
Kenya,KEN,SP.DYN.LE00.IN,2009,60.483
Kenya,KEN,SP.DYN.LE00.IN,2008,59.955
Kenya,KEN,SP.DYN.LE00.IN,2007,59.407
Kenya,KEN,SP.DYN.LE00.IN,2006,59.059
Kenya,KEN,SP.DYN.LE00.IN,2005,58.51
Kenya,KEN,SP.DYN.LE00.IN,2004,57.947
Kenya,KEN,SP.DYN.LE00.IN,2003,57.369
Kenya,KEN,SP.DYN.LE00.IN,2002,56.759
Kenya,KEN,SP.DYN.LE00.IN,2001,56.501
Kenya,KEN,SP.DYN.LE00.IN,2000,56.084
Kenya,KEN,SP.DYN.LE00.IN,1999,55.866
Kenya,KEN,SP.DYN.LE00.IN,1998,55.568
Kenya,KEN,SP.DYN.LE00.IN,1997,55.478
Kenya,KEN,SP.DYN.LE00.IN,1996,55.575
Kenya,KEN,SP.DYN.LE00.IN,1995,55.856
Kenya,KEN,SP.DYN.LE00.IN,1994,56.101
Kenya,KEN,SP.DYN.LE00.IN,1993,56.668
Kenya,KEN,SP.DYN.LE00.IN,1992,57.095
Kenya,KEN,SP.DYN.LE00.IN,1991,57.826
Kenya,KEN,SP.DYN.LE00.IN,1990,58.334
Kenya,KEN,SP.DYN.LE00.IN,1989,59.99
Kenya,KEN,SP.DYN.LE00.IN,1988,60.32
Kenya,KEN,SP.DYN.LE00.IN,1987,60.721
Kenya,KEN,SP.DYN.LE00.IN,1986,60.818
Kenya,KEN,SP.DYN.LE00.IN,1985,60.856
Kenya,KEN,SP.DYN.LE00.IN,1984,60.611
Kenya,KEN,SP.DYN.LE00.IN,1983,60.342
Kenya,KEN,SP.DYN.LE00.IN,1982,59.904
Kenya,KEN,SP.DYN.LE00.IN,1981,59.562
Kenya,KEN,SP.DYN.LE00.IN,1980,59.175
Kenya,KEN,SP.DYN.LE00.IN,1979,58.691
Kenya,KEN,SP.DYN.LE00.IN,1978,58.234
Kenya,KEN,SP.DYN.LE00.IN,1977,57.684
Kenya,KEN,SP.DYN.LE00.IN,1976,57.153
Kenya,KEN,SP.DYN.LE00.IN,1975,56.62
Kenya,KEN,SP.DYN.LE00.IN,1974,56.039
Kenya,KEN,SP.DYN.LE00.IN,1973,55.5
Kenya,KEN,SP.DYN.LE00.IN,1972,55.013
Kenya,KEN,SP.DYN.LE00.IN,1971,54.543
Kenya,KEN,SP.DYN.LE00.IN,1970,54.143
Kenya,KEN,SP.DYN.LE00.IN,1969,53.734
Kenya,KEN,SP.DYN.LE00.IN,1968,53.302
Kenya,KEN,SP.DYN.LE00.IN,1967,52.796
Kenya,KEN,SP.DYN.LE00.IN,1966,52.383
Kenya,KEN,SP.DYN.LE00.IN,1965,51.886
Kenya,KEN,SP.DYN.LE00.IN,1964,51.323
Kenya,KEN,SP.DYN.LE00.IN,1963,50.758
Kenya,KEN,SP.DYN.LE00.IN,1962,50.104
Kenya,KEN,SP.DYN.LE00.IN,1961,49.33
Kenya,KEN,SP.DYN.LE00.IN,1960,48.477
Kenya,KEN,SP.POP.TOTL,2025,57532493.0
Kenya,KEN,SP.POP.TOTL,2024,56432944.0
Kenya,KEN,SP.POP.TOTL,2023,55339003.0
Kenya,KEN,SP.POP.TOTL,2022,54252461.0
Kenya,KEN,SP.POP.TOTL,2021,53219166.0
Kenya,KEN,SP.POP.TOTL,2020,52217334.0
Kenya,KEN,SP.POP.TOTL,2019,51202827.0
Kenya,KEN,SP.POP.TOTL,2018,50207107.0
Kenya,KEN,SP.POP.TOTL,2017,49197766.0
Kenya,KEN,SP.POP.TOTL,2016,48139687.0
Kenya,KEN,SP.POP.TOTL,2015,47088526.0
Kenya,KEN,SP.POP.TOTL,2014,46051440.0
Kenya,KEN,SP.POP.TOTL,2013,44986791.0
Kenya,KEN,SP.POP.TOTL,2012,43888303.0
Kenya,KEN,SP.POP.TOTL,2011,42758461.0
Kenya,KEN,SP.POP.TOTL,2010,41598567.0
Kenya,KEN,SP.POP.TOTL,2009,40408891.0
Kenya,KEN,SP.POP.TOTL,2008,39206351.0
Kenya,KEN,SP.POP.TOTL,2007,38036349.0
Kenya,KEN,SP.POP.TOTL,2006,36904008.0
Kenya,KEN,SP.POP.TOTL,2005,35796484.0
Kenya,KEN,SP.POP.TOTL,2004,34713455.0
Kenya,KEN,SP.POP.TOTL,2003,33652223.0
Kenya,KEN,SP.POP.TOTL,2002,32629808.0
Kenya,KEN,SP.POP.TOTL,2001,31619170.0
Kenya,KEN,SP.POP.TOTL,2000,30642890.0
Kenya,KEN,SP.POP.TOTL,1999,29733408.0
Kenya,KEN,SP.POP.TOTL,1998,28888057.0
Kenya,KEN,SP.POP.TOTL,1997,28101768.0
Kenya,KEN,SP.POP.TOTL,1996,27344211.0
Kenya,KEN,SP.POP.TOTL,1995,26601751.0
Kenya,KEN,SP.POP.TOTL,1994,25857130.0
Kenya,KEN,SP.POP.TOTL,1993,25117188.0
Kenya,KEN,SP.POP.TOTL,1992,24382460.0
Kenya,KEN,SP.POP.TOTL,1991,23646514.0
Kenya,KEN,SP.POP.TOTL,1990,22892651.0
Kenya,KEN,SP.POP.TOTL,1989,22118434.0
Kenya,KEN,SP.POP.TOTL,1988,21356219.0
Kenya,KEN,SP.POP.TOTL,1987,20616096.0
Kenya,KEN,SP.POP.TOTL,1986,19901646.0
Kenya,KEN,SP.POP.TOTL,1985,19201768.0
Kenya,KEN,SP.POP.TOTL,1984,18514906.0
